,,,,,year,month,day,cond,temp,snow,wind,visi,temp score,wind score,visibi score,Total Score,Outcome
,,,,,2014,2,1,Clear,22,0,0,10,0,0,0,0,Good
,,,,,2014,2,6,Thunderstorm,18,0,1,10,0,0,0,0,Good
,,,,,2014,2,11,Overcast,24,0,3,10,0,0,0,0,Good
,,,,,2014,2,16,Thunderstorm,18,0,1,10,0,0,0,0,Good
,,,,,2014,2,21,Thunderstorm,18,0,1,10,0,0,0,0,Good
,,,,,2014,2,26,Overcast,21,0,1,10,0,0,0,0,Good
,,,,,2014,3,1,Overcast,21,0,1,10,0,0,0,0,Good
,,,,,2014,3,6,Light Snow,38,1,10,4,0,1,1,2,Bad
,,,,,2014,3,11,Clear,40,0,3,10,0,0,0,0,Good
,,,,,2014,3,16,Light Snow,38,1,10,4,0,1,1,2,Bad
,,,,,2014,3,21,Light Snow,38,1,10,4,0,1,1,2,Bad
,,,,,2014,3,26,Overcast,38,0,3,10,0,0,0,0,Good
,,,,,2014,4,1,Overcast,38,0,3,10,0,0,0,0,Good
,,,,,2014,4,6,Light Snow,36,1,3,7,0,0,0,0,Good
,,,,,2014,4,11,Overcast,37,0,3,10,0,0,0,0,Good
,,,,,2014,4,16,Light Snow,36,1,3,7,0,0,0,0,Good
,,,,,2014,4,21,Light Snow,36,1,3,7,0,0,0,0,Good
,,,,,2014,4,26,Scattered Clouds,32,0,2,10,0,0,0,0,Good
,,,,,2014,5,1,Scattered Clouds,32,0,2,10,0,0,0,0,Good
,,,,,2014,5,6,Clear,46,0,2,10,1,0,0,1,Ok
,,,,,2014,5,11,Clear,47,0,6,10,1,1,0,2,Bad
,,,,,2014,5,16,Clear,46,0,2,10,1,0,0,1,Ok
,,,,,2014,5,21,Clear,46,0,2,10,1,0,0,1,Ok
,,,,,2014,5,26,Clear,52,0,2,10,1,0,0,1,Ok
,,,,,2014,6,1,Clear,52,0,2,10,1,0,0,1,Ok
,,,,,2014,6,6,Mostly Cloudy,58,0,5,10,1,0,0,1,Ok
,,,,,2014,6,11,Clear,58,0,2,10,1,0,0,1,Ok
,,,,,2014,6,16,Mostly Cloudy,58,0,5,10,1,0,0,1,Ok
,,,,,2014,6,21,Mostly Cloudy,58,0,5,10,1,0,0,1,Ok
